id,username,realName,password,description,email,favorite,isPrivate,friends,pendingFriendRequests,sendingFriendRequests
1,111,Unnamed,111,This user hasn't wrote anything yet.,123,321,0,|2|4|5|6|7|8|9|10|11|12|,|13|,|3|
2,123,Unnamed,321,This user hasn't wrote anything yet.,123,321,0,|1|4|5|,|6|9|10|11|12|13|,|1|3|4|
3,321,Unnamed,123,This user hasn't wrote anything yet.,,,0,|,|1|2|4|6|9|10|11|12|,|
4,yxh,Unnamed,123,This user hasn't wrote anything yet.,严新航	、,喝水123,0,|1|2|5|9|10|11|,|12|,|1|3|
5,1233,Unnamed,321,This user hasn't wrote anything yet.,321,123,0,|1|2|4|,|9|11|,|1|2|4|
6,1111,Unnamed,1111,This user hasn't wrote anything yet.,,,0,|1|,|,|1|2|3|
7,123321,Unnamed,111,This user hasn't wrote anything yet.,,,0,|1|,|,|1|
8,12333,Unnamed,1233,This user hasn't wrote anything yet.,,,0,|1|,|,|1|
9,345,Unnamed,345,This user hasn't wrote anything yet.,,,0,|1|4|,|,|1|2|3|4|5|
10,456,Unnamed,465,This user hasn't wrote anything yet.,,,0,|1|4|,|,|1|2|3|4|
11,654,Unnamed,456,This user hasn't wrote anything yet.,zuohaoshL@qq.com,qwer,0,|1|4|,|,|1|2|3|4|5|
12,999,Unnamed,999,This user hasn't wrote anything yet.,,,0,|1|,|,|1|2|3|4|
13,888,Unnamed,888,This user hasn't wrote anything yet.,,,0,|,|,|1|2|
